name,id,appearance,visibility,description,sprite,volume,weight,max_quantity,rarity
Bastard Sword,1,"A two-handed sword with a straight blade",1.0,"A versatile sword that can be used with one or two hands for powerful slashes and thrusts",PLACEHOLDER,0.02,10.0,1,3
Dueling Sword,2,"A slender sword with a tapered blade",1.0,"A lightweight sword designed for quick, precise thrusts and parries",PLACEHOLDER,0.01,4.0,1,2
Falchion,3,"A curved sword with a single cutting edge",1.0,"A sword with a broad, curved blade designed for powerful slashes and hacking attacks",PLACEHOLDER,0.015,7.0,1,3
War Hammer,4,"A heavy hammer with a spiked head",1.0,"A blunt weapon with a spiked head for crushing armor and bones",PLACEHOLDER,0.02,7.5,1,2
Battle Axe,5,"A double-bladed battle axe",1.0,"A large axe with two sharp blades, great for hacking and chopping",PLACEHOLDER,0.025,8.5,1,3
Flail,6,"A spiked ball attached to a chain",1.0,"A weapon with a spiked ball on a chain designed for crushing skulls and breaking bones",PLACEHOLDER,0.025,8.5,1,3
Longsword,7,"A long, sharp sword",1.0,"A sword with a long, straight blade",PLACEHOLDER,0.01,6.8,1,3
Mace,8,"A heavy spiked mace",1.0,"A blunt weapon with spiked heads for crushing armor and bones",PLACEHOLDER,0.02,7.5,1,2
Spear,9,"A long, pointed spear",1.0,"A polearm with a sharp tip for thrusting and jabbing at enemies from a distance",PLACEHOLDER,0.03,7.0,1,2
Katana,10,"A curved Japanese sword",1.0,"A sword with a sharp, curved blade designed for swift and deadly strikes",PLACEHOLDER,0.01,5.0,1,3
Morning Star,11,"A spiked ball attached to a stick",1.0,"A medieval weapon with a spiked ball on a chain, great for crushing armor and skulls",PLACEHOLDER,0.03,8.0,1,3
Rapier,12,"A slender sword with a pointed tip",1.0,"A lightweight sword designed for thrusting attacks, used for quick, precise strikes",PLACEHOLDER,0.01,4.5,1,2
Scimitar,13,"A curved sword with a sharp blade",1.0,"A sword with a curved blade designed for powerful slashes and sweeping attacks",PLACEHOLDER,0.015,7.5,1,3
War Scythe,14,"A long-handled scythe with a curved blade",1.0,"A polearm with a curved blade designed for slicing and hacking attacks, great for taking down multiple enemies",PLACEHOLDER,0.04,9.0,1,4
Halberd,15,"A long-handled weapon with an axe head and a spear point",1.0,"A polearm with an axe head and a spear point, great for chopping and thrusting attacks",PLACEHOLDER,0.03,8.5,1,4
Claymore,16,"A large two-handed sword with a straight blade",1.0,"A long and heavy sword with a straight blade, used for powerful sweeping attacks",PLACEHOLDER,0.025,10.0,1,4
Glaive,17,"A long-handled weapon with a curved blade",1.0,"A polearm with a curved blade designed for slicing and chopping attacks, great for taking down multiple enemies",PLACEHOLDER,0.035,8.0,1,3
Nunchaku,18,"Two sticks connected by a chain",1.0,"A weapon with two sticks connected by a chain, great for quick and agile attacks",PLACEHOLDER,0.015,3.5,1,2
Sickle,19,"A short-handled curved blade",1.0,"A tool-turned-weapon with a sharp, curved blade designed for slashing attacks",PLACEHOLDER,0.01,2.5,1,1
Whip,20,"A long, flexible chain with a handle",1.0,"A weapon with a long, flexible chain and a handle, great for keeping enemies at a distance and for quick strikes",PLACEHOLDER,0.02,4.5,1,2
Shortbow,21,"A small, lightweight bow",1.0,"A lightweight bow designed for quick and precise shots, great for hunting and skirmishes",PLACEHOLDER,0.025,1.5,1,2
Longbow,22,"A tall bow taller than a person",1.0,"A longbow with a tall, narrow frame, designed for powerful, accurate shots from a distance",PLACEHOLDER,0.035,2.5,1,3
Crossbow,23,"A bow mounted on a stock, with a trigger mechanism for releasing the bowstring",1.0,"A bow mounted on a stock, with a trigger mechanism for releasing the bowstring, great for powerful shots at a slower rate",PLACEHOLDER,0.04,5.0,1,4
Sling,24,"A weapon that launches stones or other projectiles by means of a flexible pouch or string",1.0,"A weapon that launches stones or other projectiles by means of a flexible pouch or string, great for quick and stealthy attacks",PLACEHOLDER,0.01,0.5,1,1
Throwing Axe,25,"A small axe designed for throwing",1.0,"A small axe designed for throwing, great for quick and deadly ranged attacks",PLACEHOLDER,0.005,0.75,1,1
Javelin,26,"A lightweight spear designed for throwing",1.0,"A lightweight spear designed for throwing, great for taking down enemies at a distance",PLACEHOLDER,0.02,1.5,1,2
Throwing Knife,27,"A small knife designed for throwing",1.0,"A small knife designed for throwing, great for quick and stealthy ranged attacks",PLACEHOLDER,0.005,0.25,1,1
Blowgun,28,"A small tube used to fire lightweight darts or other projectiles",1.0,"A small tube used to fire lightweight darts or other projectiles, great for silent, long-range attacks",PLACEHOLDER,0.005,0.1,1,1
Composite Bow,29,"A bow made from multiple materials",1.0,"A bow made from multiple materials, designed for powerful, accurate shots from a distance",PLACEHOLDER,0.03,2.0,1,3
Pistol,30,"A handheld firearm with a short barrel",1.0,"A handheld firearm with a short barrel, designed for quick and deadly ranged attacks",PLACEHOLDER,0.015,1.0,1,4
Composite Crossbow,31,"A crossbow made from multiple materials",1.0,"A crossbow made from multiple materials, designed for powerful shots at a slower rate",PLACEHOLDER,0.045,5.0,1,3
Blunderbuss,32,"A short-barreled firearm with a wide opening at the muzzle",1.0,"A short-barreled firearm with a wide opening at the muzzle, designed for close-range attacks against multiple targets",PLACEHOLDER,0.02,4.0,1,4
Recurve Bow,33,"A bow with limbs that curve away from the archer when unstrung",1.0,"A bow with limbs that curve away from the archer when unstrung, designed for powerful, accurate shots from a distance",PLACEHOLDER,0.03,2.5,1,3
Slingshot,34,"A Y-shaped frame with rubber straps or bands used to launch small projectiles",1.0,"A Y-shaped frame with rubber straps or bands used to launch small projectiles, great for quick and stealthy attacks",PLACEHOLDER,0.005,0.25,1,1
Boomerang,35,"A flat, curved throwing weapon that returns to the thrower",1.0,"A flat, curved throwing weapon that returns to the thrower, great for quick and deadly ranged attacks",PLACEHOLDER,0.01,0.5,1,1
Musket,36,"A long-barreled firearm with a flintlock ignition",1.0,"A long-barreled firearm with a flintlock ignition, designed for accurate shots at a distance",PLACEHOLDER,0.025,3.0,1,4
Tomahawk,37,"A small axe designed for throwing or melee combat",1.0,"A small axe designed for throwing or melee combat, great for quick and deadly ranged attacks or close-quarters combat",PLACEHOLDER,0.005,0.75,1,1
Dart,38,"A small, pointed missile used as a weapon",1.0,"A small, pointed missile used as a weapon, great for quick and stealthy attacks",PLACEHOLDER,0.005,0.1,1,1
Spear,39,"A long, pointed weapon used for thrusting or throwing",1.0,"A long, pointed weapon used for thrusting or throwing, great for taking down enemies at a distance or in melee combat",PLACEHOLDER,0.02,1.5,1,2
Assault Rifle,40,"A selective-fire firearm with a detachable magazine",1.0,"A selective-fire firearm with a detachable magazine, designed for quick and deadly ranged attacks",PLACEHOLDER,0.02,3.5,1,5
Staff of Fire,41,"A long wooden staff with a ruby embedded at the top",1.0,"This staff is imbued with the power of fire, allowing the wielder to conjure flames and ignite enemies",PLACEHOLDER,0.05,2.0,1,4
Sword of Ice,42,"A longsword with a blade made of ice",1.0,"This sword is imbued with the power of ice, allowing the wielder to freeze enemies and create icy terrain",PLACEHOLDER,0.02,1.5,1,3
Wand of Lightning,43,"A slender wand with a blue crystal at the tip",1.0,"This wand is imbued with the power of lightning, allowing the wielder to electrocute enemies and power electrical devices",PLACEHOLDER,0.01,0.5,1,4
Bow of the Elements,44,"A bow with a string made of woven air and arrows that change elemental properties",1.0,"This bow is imbued with the power of the elements, allowing the wielder to shoot arrows imbued with fire, ice, lightning, and more",PLACEHOLDER,0.03,2.0,1,5
Dagger of Shadows,45,"A black dagger that seems to absorb light",1.0,"This dagger is imbued with the power of shadows, allowing the wielder to move unseen and strike with deadly accuracy",PLACEHOLDER,0.01,0.25,1,3
Flail of Radiance,46,"A flail with a chain made of pure light and a mace made of shining metal",1.0,"This flail is imbued with the power of radiance, allowing the wielder to strike enemies with blinding light and heal allies",PLACEHOLDER,0.05,3.0,1,4
Scepter of the Mind,47,"A golden scepter with a purple gem at the top",1.0,"This scepter is imbued with the power of the mind, allowing the wielder to control the thoughts and actions of enemies",PLACEHOLDER,0.02,1.0,1,5
Whip of Necromancy,48,"A black whip that seems to drain the life force from enemies",1.0,"This whip is imbued with the power of necromancy, allowing the wielder to summon and control undead creatures",PLACEHOLDER,0.03,1.5,1,4
